geo,geo.name,geo.is.territory,geo.is.un_state,geo.g_region4,geo.g_west_rest,geo.lat,geo.lng
tcd,Chad,TRUE,TRUE,afr,rest,15,19
chl,Chile,TRUE,TRUE,ame,rest,-33.45694,-70.64827
chn,China,TRUE,TRUE,asi,rest,35,105
chanisl,Channel Islands,TRUE,FALSE,eur,rest,,
cxr,Christmas Island,TRUE,FALSE,asi,rest,-10.5,105.66667
cck,Cocos Island,TRUE,FALSE,asi,rest,-12.1642,96.87332
col,Colombia,TRUE,TRUE,ame,rest,4,-73.25
com,Comoros,TRUE,TRUE,afr,rest,-12.23333,44.44553
cod,"Congo, Dem. Rep.",TRUE,TRUE,afr,rest,-2.5,23.5
cog,"Congo, Rep.",TRUE,TRUE,afr,rest,-1,15.5
cok,Cook Is,TRUE,FALSE,asi,rest,-21.24842,-159.78516
cri,Costa Rica,TRUE,TRUE,ame,rest,10,-84
civ,Cote d'Ivoire,TRUE,TRUE,afr,rest,8,-5.5
hrv,Croatia,TRUE,TRUE,eur,rest,45.16667,15.5
cub,Cuba,TRUE,TRUE,ame,rest,22,-79.5
cyp,Cyprus,TRUE,TRUE,eur,rest,35,33
cze,Czech Republic,TRUE,TRUE,eur,rest,49.75,15
dnk,Denmark,TRUE,TRUE,eur,west,56,10
dji,Djibouti,TRUE,TRUE,afr,rest,11.58901,43.14503
dma,Dominica,TRUE,TRUE,ame,rest,15.5,-61.33333
cheslo,Czechoslovakia,TRUE,FALSE,eur,rest,,
dom,Dominican Republic,TRUE,TRUE,ame,rest,19,-70.66667
ecu,Ecuador,TRUE,TRUE,ame,rest,-1.25,-78.25
egy,Egypt,TRUE,TRUE,afr,rest,27,30
slv,El Salvador,TRUE,TRUE,ame,rest,13.83333,-88.91667
gnq,Equatorial Guinea,TRUE,TRUE,afr,rest,1.7,10.5
deu_east,East Germany,TRUE,FALSE,eur,rest,,
eri,Eritrea,TRUE,TRUE,afr,rest,15,39
est,Estonia,TRUE,TRUE,eur,rest,59,26
eth,Ethiopia,TRUE,TRUE,afr,rest,9,39.5
fro,Faeroe Islands,TRUE,FALSE,eur,rest,62,-7
